Comment;Column2;Column3
psbb memang harus dihapuskan kasihan rakyat bawah yg kaya mah enak tinggal pecat karyawan tabungan ada walau bagaimana jumlah rakyat bawah lebih banyak dari yg kaya pemerintah harus berpihak pada yg mayoritas ;2,58333E+16;positif
tapi boong wkwk;1;positif
semoga indonesia ku bersih dari sampah dan covid ;3,66667E+15;positif
new normal untuk mengadakan resepsi pernikahan semua undangan menggunakan masker mengukur suhu cuci tangan dg hand sanitizer masuk bilik disinfectan saat masuk di ruang resepsi undangan dibagi menjadi beberapa shift misal suatu gedung kapasitas undangan dibagi menjadi shift orang;75;positif
para pejabat nya itu di disiplin kan dlu biar jdi conto yg bagus buat rakyat bikin aturan tu yg jelas bukan nya bruba ruba psbb nya jdi percuma sia sia convid nya perhari masih nambah lebih new normal wk wk wk dengkul dengkul negara lain new normal emang kasus penambahan nya uda turun ;8,79247E+14;positif
setuju bos;0;netral
tatanan baru istilah seperti illuminati gt lah selalu rncana mrka hmmm ;0;netral
pak jokowi konser gmna pak lagi dong haha;2;positif
covid itu sebenarnya bersifat politik warga butuh makan pak buat besok bukan malah di tekan masyarakat;0;netral
semoga dapat hidayah aamiin;0;netral
produktif aman covid mksdnya gmn jgn prank kita lg pak gmn mau percaya kalo bawa contekan;5;positif
berak ;0;netral
gerakan disiplin nasional ;0;netral
semoga covid cepat berlalu aamiinn makasih ;3,33333E+15;positif
haduh haduh negara setingan ;0;netral
kalo bekasi di lockdown jawa barat dan jakarta pun hancur pendapatan keuangan negara ;-1;negatif
new normal terserah loe aja deh ;15;positif
hati kena prank habis new normal semua tarif ini itu naik lg ;1,43182E+15;positif
amin ;0;netral
semoga apa yang bapak laksanakan program nya tidak sia lagi ;0;netral
wkwkwk udah terima aja tantangan dari jrx gak berani ya ya udah kalo gak berani buat aja video di youtube itung ada konten sekaligus nyari subscribers dan viewer wkwkwk ;0;netral
sunda empire naon eta akibat gak nyetor reset ulang ;-125;negatif
semoga bpk presiden tetap sehat walafiat kami sekeluarga selalu mencintai anda thank you for all the best for indonesiaku and god bless you amen;85;positif
seleksi alam resmi siap dimulai ;1,5E+16;positif
tatanan dunia baru sunda empire akhirnya dipakai ;0;netral
haduh mboh wes;0;netral
ucapan nya kaya niru kang rangga sasana sunda empire;0;netral
kirain tatanan baru sunda empire wkwkwk;1,68182E+16;positif
ga ada assalamualaikum langsung padaaa ;1;positif
 juta avigen yg di pesan mana nih ;0;netral
saya takut ini herd immunity dibungkus dengan kata new normal saya ga mau terinfeksi virus saya ga mau mati tolong saya dan keluarga saya ;-1,04545E+16;negatif
kenapa sumareccon kenapa gak di bandung ya oiya yg punya sumarecon siapa ya saya penasaran ;-1;negatif
ngobrol opo pak aku ra mudeng maksudmu hahaha se ingatku dulu jumlahnya cuma hahaha ;1,53472E+15;positif
penduduk indonesia udah padet pemerintah ngelonggarin psbb agar ekonomi tetap berjalan agar masyarakat hidup normal kayak biasanya new normal bertujuan agar populasi di indonesia makin berkurang dengan kena virus corona ;7,78409E+14;positif
seleksi alam dan hukum rimba siapa yang kuat dia yang bisa hidup wkwkwk;2,56566E+15;positif
alhamdulilah akhirnya kembali normal;75;positif
teringat kembali pertanyaan pak anis lokcdown jakarta ;0;netral
oopp ada teori konspirasi lagi nii ;0;netral
tanggal juni udah masuk sekolah bjirr sia gak keluar rumah bulan tpi ujung nya juga di suruh skolag keluar rumah hadehhh;0;netral
gua mampir cuma mao liat komen doang ;0;netral
prank lagi kah ;0;netral
yg punya riwayat penyakit rawan diserang virus ini telah dikorbankan kembali ke yg kuat bertahan yg lemah mati ;0;netral
drpd ekonomi anjlok ane lengser lbh baik rakyat yg mati kan ada yg lahir lagi klw bayar hidup rakyat di rumah aja jg gk ada duit dungu part ;1,77315E+15;positif
belum jualan vaksin ;0;netral
herd imunity ;0;netral
harusnya judulnya tatanan dunia baru ;1,36364E+16;positif
sunda empire apa kamu benar ;2,85714E+15;positif
selamat membeli sarung tanganmenjaga dari corona nambah uang slurrr buat yang produksi;0;netral
itu ngomong apaa saya kagak ngerti ;0;netral
assalamualaikum dulu pak;25;positif
 jujur itu hebat usahakan juga semua agama bebas menggunakan tempat ibadah nya jngan cuma mall aja bos hidup itu di bawa enjoy aja;4;positif
new normal apakah otw new world order ;1,43182E+15;positif
sebelum sebelumnya juga masyarakat sdh disiplin mengikuti protokol kesehatan ;0;netral
permisi saya ingin kosmentar sebentar aja tp pemerintah apakah cukup untuk memberikan peralatan kesehatan untuk masyarakat seperti yang masih sekolah kerja ibadah dll ;0;netral
akhirnya herd immunity;0;netral
latah amat ngikut new normal kaya negara lain kalo negara lain yang relaxing lockdown kan karena mereka udah lewatin peak periodnya lah ini kasus positif masih naik terus kok malah dilonggarkan psbb nya;1,0705E+16;positif
ya allah ya tuhan jadikanlah saya presiden suatu saat nanti ;0;netral
jurus pamungkas selamatkan kesehatan apa ;0;netral
haduhh yg ga ikutan milih jadi ikut kena dampak kebijakannya;0;netral
tni dipakai untuk internal pak gk untuk keamanan eksternalnih ;0;netral
cukup ketawa aja;3;positif
desi pantaw apanya yg di serang dan hancurkan ayo jawab saya kepingin tau ;-2;negatif
pnpm tetap nagih;0;netral
hoaaamzzz ;0;netral
serius gak simpati lht s anu berbicara lg ;0;netral
kok nggak ada yg fokus ke reporter nya cakep loh ;5;positif
masyarakat sdh disiplin jija tak dusiplin krn perut kami lapar tak punya uang ;0;netral
peraturan sama praktek lapangan jauh berbeda praktek lapangan lebih arogan kususnya kamtibmas pol pp ;125;positif
jangan sampai rakyat membludak pk krna buat makan gk adaaaaaa;0;netral
selamatkan ekonomi tapi mematikan rakyat wkakekkwkkkwkakwkakwkakkwkakwkawkakkwkakwkakwkkakwkakwkkakwkakwkskkwkakwkskwkwkwkwkwkkwkwkwkwkwkwkwkwwlkwkwkwkw;0;netral
kakean cangkem hahahaha;2;positif
prank lg ya pak kami tkut ma corona;-6;negatif
pak masalah nya bukan ekonomi tapi corona seharus nya jurus pamungkas lawan corona ;0;netral
usahanya semoga berhasil dan kembali normal;15;positif
saya kurang faham pak presiden pidato tolong jelasin temen apa mksudnya dari dlu gk mudeng saya kepo;225;positif
masker itu buat nutupin mulut dan hidung bukan dagu dungu;0;netral
new normal atau new worl older;1,43182E+15;positif
negara kusut ;0;netral
ga mau keluar biyaya untuk rakyat takut kekuasaanya runtuh ya rakyat yg d jadikan tumbal buat duel sama corona ;0;netral
hrus bsa dsplin rakyt smua spya bisa normal lgi sperti bisa lgi smga negra kta aman covid cpet slesai smga sht smua buat bp prsiden bp gbrnur polri tni dan smga di lndungi allah swt setiap waktu;15;positif
lagi keputusan yg bikin bingung dengan cara yg membingungkan buat kalian yg bingung ;-3,66667E+15;negatif
punya pemerintah gini amat;0;netral
habib bahar di tangkap gara gara melanggar psbb lah pemerintah sendiri melanggar aturannya gak ada yg dapat sangsi negara dagelan memang nih ;0;netral
mgkn corona bisa berkurang sejalan dengan berkurangnya intensitas media memberitakanya;0;netral
aku mulai malas dgn yg satu ini omongan ga bs dipercaya dan plin plan prettt;-25;negatif
normal kmbali asiap ;2;positif
corona memang buat orang cina di simpan di sebuah tempat;0;netral
gk jelas ;0;netral
new normal berak lo logika kita diputer dibolak balik berak lo sekebon;1,33333E+16;positif
psbb masih ber bentrok kan dengan new normal;1,43182E+15;positif
mari semua warga negara taat aturan pemerintah ;0;netral
coba menkes nya msh ibu siti fadilah pasti si pembisnis gk akan naikan nominal angka angka angka angka semoga cuma angka bukan korban ;25;positif
baru normal new normal;1,45455E+16;positif
dagelan;0;netral
new normal pasrah;15;positif
terserahlah mau apalagi ;0;netral
ngeprang lgi besok besok peraturanya juga berubah;0;netral
tapi bohong yhahaaaaaa;0;netral
pulang k solo ko bisa ya hehe gak di karantina lagi;0;netral
bikin keder lagi kebijakannya sekarep mu dahh ;1E+16;positif
yg komen negatif belom pada ngerti mksd a;-3;negatif
asal jujur saja akan keterbukaan data perhari brp yg di test dan brp yg kena mohon kedepan utk tetap jujur jika benar di buka;275;positif
gk punya pendirian aturan yg berubah ubah;0;netral
diskusi aja dgn sunda empire tatanan prettt;25;positif
bandara cepat buka dong pak presiden saya yang dari papua ingin pulang kebanten ;1;positif
semoga corona virus membawa pergi orang tokoh agama politik nasional dst indonesia yg suka nyinyir dan yg menyebarkan hate speech serta ga kreatif dan ga mw bantu pemerintah rakyat saat pandemi covid ini aamiin yra takbir allohu akbar x;-2625;negatif
bisa aja kertas nasi;0;netral
kalian kelompok yang mana yang pro new normal punya usaha tapi modal ngutang orang yang punya tanggungan utang mobil rumah dll;1,43182E+15;positif
urip karepmu mati karepmu gitu paling maksudnya;15;positif
gw seh berharap mesjid jg di buka buat sholat berjamaah karna untuk masuk mesjid syaratnya bersih bersuci atau wudhu yg di cuci bukan cm tangan doang dri ujung kepala sampe ujung kaki buka alas kaki pakaian rapih dan sopan coba klo ke mall pernah ga kalian ngeliat orang klo mau masuk mall wudhu dlu cuci dri ujung kepala sampe ujung kaki trus buka alas kaki ;7,33333E+15;positif
mohon maaf mau tanya katanya dilarang bergerombol tp dsitu kok pada bergerombol ya jdi bingung apakah khusus orng trtentu kah yang boleh bergerombol ;-3;negatif
mesjid ditutup tapi para cina keluar masuk negara bisa penyakit corona bisa di sembuhkan hiv gk bisa jadi knp masyarakat selalu aj ditakut n;-15;negatif
gak konsisten knpa gak dri awal aja gak usah ada libur terlanjur yg kerja pada di phk di rumahin udah tau positif covid tiap hari makin menggila ;-1,40909E+17;negatif
semoga kau dengar tuhan iwan fals;0;netral
normal yg bener pk jngan plin plan rakyat udah gerah pk ;0;netral
lebih penting menyelamatkan ekonomi apa nyawa rakyat rakyat sekarang dikarantina bantuan salah sasaran membuat rakyat menderita dan mati pelan pelan pemerintah membuat aturan tapi tidak membuat solusi;25;positif
inovasi bangsa indonesia jgn new normal harusnya orhiba orde hidup baru protokolnya pke cara peradaban nabi muhammad click orhiba;1,43182E+15;positif
this is prank;0;netral
can you win ;8;positif
tuhan lagi memperlihatkan kebusukan pemerintah negri ini ;0;netral
aah bingung dengan peraturanmu ;-4;negatif
jangan kan ke mall pak tolong pikirkan transportasi umum dan ojek online gimana penerapan new normal;9,54545E+15;positif
yang di datengin kok mall lol;8;positif
wait tatanan baru di masa pandemi apakah tatanan baru ini hanya di masa pandemi atau selamanya mohon dijawab bagi yang paham hehe matur suwun temen temen ;9,09091E+14;positif
takut massa demo protes pemerintah setelah menahan diri di bulan ramadhan puasa dimunculin deh new normal nyebar aparat buat bubarin konsentrasi masyarakat ;9,54545E+15;positif
normal kok di batasi jam sama aja;75;positif
bong;0;netral
duta mall ;0;netral
new normal selamatkan ekonomi yang ada negara sdh bangkrut jurus ngeles tukang kibul;15;positif
mari kita kembali beribadah sholat ke mushola dan masjid mari kita kembali berjamaah karna dengan berjamaah amal ibadah akan di gandakan;0;netral
zona hijau pendidikan dijalankan sekolah hrs mulai jln sesui protokol kesehatan zona merah tutup saja dulu jgn terjadi pembodohan masal;1,66667E+16;positif
a america b belanda c canada d bandung;0;netral
covid hahahaha makanan tambah bnykkk enakk nyam nyammm cmn di indonesia covid bisa sejahtera;2;positif
new dungu tempat ibadah ditutup mall dibuka;-2375;negatif
seharus new normal di laksanakan ketika penyebaran covid menurun bukan ketika naik gimana apagak kasian sama anak kecil yg belom ngerti apa ;-1,15909E+15;negatif
rakyat maunya diapain lagi urus rakyat udah gk bisa kerjaaaaaa;0;netral
mulut aja yg lebar;-1;negatif
tatanan baru dunia world order setelah ini muncullah agama dunia di era g;1,36364E+16;positif
sya wiraswasta pemasukan sebulan gak jls semenjak covid kk ada ktp ad rmh ngontrak motor kridit tetep sruh byar dan gak dapet bantuan yg jelas masi byak saudara qt yg lbih sush dari sya dan tdk dpt bantuan ;4;positif
government new normal medics ahhh terserahlah ahh;1,43182E+15;positif
keberkahan bulan suci ramadhan subhanallah walhamdulillah wala ilaha illa allah;0;netral
jaga batasan nyinyiran anda;0;netral
resepsi pernikahan di buka kembali ya pak supaya saya sebagai pekerja dekorasi pengantin beraktivitas lagi agar dapat pengasilan demi kebutuhan hidup sehari hari semangat pak jokowi untuk indonesia tercinta ;4;positif
disiplinkan masyarakat terutama di konser konser ;0;netral
iyalah haruslah dibuka gw dikos uda ga kerja mana byar kos perbulan boro dapat bantuan smbako anak kos ga pernah dapat bantuan lo yg punya duit banyak enak mah;35;positif
lagi naik kurva positif kok malah buka mall blunder makin sulit tracking nya klo ada yg positif tolong bpjs pak cancel dulu naiknya korban phk neh ;1,13636E+16;positif
kita dukung pemerintah dengan jaga kesehatan dan doa pada allah swt hindari saling mnyalahkan ;-125;negatif
terserah apa kata lu aja dah wkwkwkwk emang gw pikirin uda males liat nya;0;netral
setingan;0;netral
ya mau ga mau harus normal karna semakin lama lock down semakin banyak juga biyaya yg dikeluarkan pemerintah sedangkat keuangan negara udah menurun drastis juga ;2,36111E+16;positif
virus corona ini masih mewabah jadi setelah menerapkan peraturan baru tapi nggak dipatuhi konsekuensinya makin banyak tubuh yang dimasuki virus corona ini semakin bertambah terus yang meninggal karena virus corona ini;3,78788E+15;positif
maaf teoroi dan praktek harus sesuai tlg kantib itu harus mengerti jangan main segel masa toko buka sedangkan konsumenya saja tidak berjubel ko main segel;0;netral
gaada etikanya jadi org ngomong ora ada salam쾛ya wkwkwk;2;positif
s u r v i v a l mode tubuh kebal akan bertahan tubuh lemah akan tumbang ;-375;negatif
belum waktunya pusat perbelanjaan dibuka tetap akan menjadi kerumunan manusia sabar sabar belajar ke vietnam ;-15;negatif
ya allah smoga covide cepat di angkat dan smoga dunia kembali seprti dl dan bisa tersenyum lagi dan smoga bapak jokowi di beri kesehat dan perlindungan dr subhana wataalla ;2,11111E+15;positif
disa at gemuruh deras dari mulut dan di hati yang resah dan tak berdaya teruskan jangan hentikan gemuruh harapan dan pengakuan bahwa hanya tuhan yang mampu menurunkan penyakit beserta obatnya kecuali kita yang khianat akan kekuasa annya menganggap tubuh dan otak ini mampu menentukan ke arah mana keselamatan berada ;1,36111E+16;positif
labil orang masih banyak yang positif corona;3,63636E+15;positif
new world order banget ini ah gue mnding udahan dr dunia dajjal ini lah;1,68182E+16;positif
semuga cepat lengser;8,88889E+15;positif
kok jurus pamungkas mgkn cocoknya terserahhloe biarloemampus;0;netral
kita akan lihat angka dan nanti listrik bbm migas bpjs dll akan kita baikan lagi harganya ;0;netral
heeeeeyyyyyy antum kenapa anda hanya melihat tempat tempat keramaian publik saja nasib masjid kami bagaimana nasibnya bloookkkkk;0;netral
mantap barengan dengan hari lahirnya pancasila ;0;netral
melaksanakan tatanan baru mesti ijin dulu ke sunda empire ;1,93182E+16;positif
isu berita hoax semua pasien sudah mencapai tidak ada satu pun rumah sakit pasien covid d sorot camera jd kemana pasien di sembunyikan permainan apa kah kalian lakukan ;0;netral
terserah;0;netral
apapun yang di bilang pemerintah saya percaya itu semua prank ;0;netral
kalau pak de mau liat angka angka ya resmiin togel biar rakyat bisa cari angka jitu buat basmi kemiskinan dan covid ;4;positif
dulu kau jadikan bahan candaan tp sekarang payah ;0;netral
karepmulah wi wi jokowi ;0;netral
bacodddddddd;0;netral
ruwet ruwet ruwet;0;netral
gw makin bingung dengan istilah yg di pakai oleh negara sono di longgarkan tapi juga di ketatkan ;0;netral
dan nanti para medis akan kewalahan ;0;netral
gak di contohkan cara pakai masker yang benar ya ;0;netral
bbm brp harga perliternya sdgkn diluar negeri separuh harga lbh murah gmn respon bpk presiden markowi ;-1,66667E+16;negatif
parah parah parah yg dihancurkan keagamaan kesopanan kepandaian dan pembodohan dimana mana agama diacuhkan sungguh negara luar biasa kambing kambing hitam sudah tersebar ke seluruh pelosok negri ;-1,83333E+15;negatif
gw sih mending keluar survive daripada diam sama mati;0;netral
nech ya gw kasih tau lo pade yg cuma suka nyinyir corona ada bahaya iya bagi kalangan tertentu settingan iya;0;netral
berlakukan lagi gdn gerakan disiplin nasional seperti yg pernah di berlakukan pada era an ;0;netral
semoga ini bukan keputusan terkonyol yg pernah dibuat krn teori terkadang tidak seindah kenyataan ;0;netral
anu maaf kayaknya kurang jelas apa yang dijelaskan jelas jelas belum jelas semua karena anunya belum jelas jelas masih bingung karna bingung yang belum jelas ngikut aja lur;-1,58333E+16;negatif
d saat mau memuncak malah new normal ya allah;1,43182E+15;positif
kayanya kenyataan virus corona akan tutup in demi sebuah kondisi yg normal kembali agar tidak terjadi kepanikan ditengah masyarakat karena virus covid tidak akan pernah hilang sebelum ada obatnya tapi pemerintah lebih mementingkan ekonomi kita liat saja nanti ;15;positif
sila hapuskan bisnes yg haram maksiat baru allah terima doa kita semua;1,36364E+16;positif
rakyatanya pdo mumueti;0;netral
ngeprank mulu nih pakde;0;netral
lebaran udah usai percuma pengunjung mall akan sepi;0;netral
klo jurus pemungkas berarti g akan ada jurus lain setelah ini tolong jurus plin plannya g diterapkan biar fokus ekonomi bs baik yg di phk bs kerja lagi perusahaan yg bangkrut bs operasi lagi dan yg terpenting lagi smg new normal tdk menambah yg terinsfeksi corona ;1,43182E+15;positif
di mall saja;0;netral
yang jelas bohong;0;netral
new normal tapi kurang detail ada beberapa detail yang kurang harus selalu di evaluasi jangan dibuat kalo ini adalah harga mati kesehatan ya tapi hampirbbelum terlalu banyak menyinggung masalah kerumunan;5;positif
aku miskin kamu kaya ok ok ok aku lemah;1,83333E+16;positif
aduuhh ;0;netral
new normal herd imunnity;15;positif
ah itu cuma kata lain dari menyerah atau bisa jadi tidak peduli sm rakyat ;0;netral
plonga plongo lagi raja cebong;0;netral
tenaga medis mungkin sedih denger ini smoga para nakes diberi kesabaran menghadapi ini ;-5;negatif
brand new world;1,36364E+16;positif
mantap pak presiden sehat selalu pak mau gimana lagi kalaupun ini ada konspirasi ya tetap harus ada cara mengatasi jangka pendek dulu semua usaha yg bisa di pakai tetap harus di patuhi demi kebaikan bersama kalau ada yang gk terima atau apapun namanya terserah kalianlh tapi kalau terjangkit jangan salahkan siapapun dan jangan menyesal dan jangan jangkitkan ke orang lain ;0;netral
terserah ;0;netral
waktu kampanye habis habisan semua rakyat di bikin janji janji palsu baru di beri korona udah ruwet ;0;netral
di ksih psbb masyarakat pd susah di rumh di ksih kebebasa masyarakat pd ribut jg serba slh;0;netral
jan lupa tetap pake masker jaga kebersihan dan jaga jarak;3,66667E+15;positif
new normal bagi wong deso seperti kami susah memahami mungkin lebih tepatnya menuju jaman ambyar;1375;positif
mantap pak jokowi;0;netral
kata pakde produktif dan aman covid ini kata saling berlawanan kenapa kalau mau aman ya dirumah krna virusnya masih ada penambahan kasus positif masih banyak sulit untuk produktif pemerintahlah yang jamin pangannya beginilah perintah uu ;0;netral
kwkwkkw ketawa saja serah lo dah;3;positif
bukan mau sombong cuma mau ngajak kebaikan aja bagi yang merasa belum lancar baca qur an atau ingin membenarkan bacaannya tapi cuma bisa nyediain waktu menit sehari buat belajar ;0;netral
maklum budaya tumbal demi ekonomi pesugihan itu hal yang lumrah;0;netral
revolusi mental new normal next apa yah pra krja apa crta yahh ;4,65909E+16;positif
tarik sana tarik sini dorong sana dorong sini kecebur lah ujung nya ;0;netral
buka semua psbb mau kluar kmn ndak bs mau krj jln di ttp pusingggg rasany;0;netral
god joob insya alloh naik dengan di libatakanya tni polri ;0;netral
negara lain sudah mulai normal ini indonesia malah ruwet ancurrrr currrr;15;positif
semoga perusahaan bangkit lagi dan open recruitment besar an para jobless moga bisa dapet kerja lagi ;0;netral
new world order siap dimulai;2;positif
gak ada kepastian capek dah ekonomi udah hancuuuuuuur;-4;negatif
penerbangan internasional smoga dah bs ya semoga pandemi ini bs segera berlalu dan semuanya makin membaik ;5;positif
persiapkan kurikulum baru persiapkan sistem ajaran baru persiapkakan tatanan baru budaya baru dan sistem ekonomi baru dan jangan lupa terus cari vaksin dan obatnya ;1,4697E+16;positif
 juni mari kita update server biar gk ngelag dan jngn lupa gatcha terooooos pay to win ;8;positif
lucu aj sih sm negara sendiri ;425;positif
sudah terlanjur parah berdampingan dengan covid memang harus terjadi seperti penyakit lain tinggal berusaha menemukan obatnya ;0;netral
penerapan new normal sepertinya tdk akan efektif jika tidak merata di semua sektor lini;1,43182E+15;positif
perediksi sunda empire akan ada bencana yang akan merubah tatanan dunia berbakat jdi peramal wkwkwkkw;0;netral
hhhh sunda empire tatanan baru ;0;netral
gk jls dh indonesia aku hnya prcaya kpd allah;0;netral
pak dhe tatanan baru sunda empire puntennn;0;netral
kaya dongeng ;0;netral
klo bicara normal new mah ya d cabut lah smw aturan ;1,43182E+15;positif
sunda empire terima kasih sudah mengingatkan kami ;0;netral
new normal dapat dimaknai menyerah tdk sanggup lagi;15;positif
semoga pulih lebih cepat seluruh indonesia kami yang punya niatan baik jadi tertahan oleh aturan aturan nya semoga niatan baik yang di undur ini dosa nya tidak menimpa kita tapi di tangung oleh yang mengatur;0;netral
agen agen konspirasi global sudah semakin nyata negara ini dalam ke adaan darurat krisis dunia terbalik ;0;netral
bukti ketidaksanggupan menangani covid ;0;netral
ko gak di dki pidatonyaa kalah sama pak gubernur pidatonya gak pake tek;0;netral
bodo amat lah jualan sepi duit ngak gableeeg ;0;netral
sekarang jaman manusia kebanyakan cari muka di youtube supaya dibilang baik simpati kpd rakyat yg lagi musibah atau miskin bahkan agar dipuji oleh pemerintah ;2,5E+16;positif
kenapa sih yg di utamakan mall tempat ibadah g di sebut hmmmm;0;netral
