Comment,POS,NET,NEG
tatanan baru new world order dari beratus sektor yang lebih penting untuk new world order pak presiden memilih untuk berkunjung ke mall ,1,0,0
semoga kehidupan ini berjalan kayak dulu lagi udah menderita banget selama ini gak ada pemasukan kerja di liburkan mau kemana gak bisa susah pokoknya ,0,1,0
tatanan baru buat pejabat indonesia biar ga ngelawak dan plonga plongo kerahkan tni polri aja ,0,1,0
utang negara mau g mau newnormal ,0,0,1
prank lg nih ,0,1,0
masjid pak,0,1,0
selamatkan nyawa pasien pea ,0,0,1
keinget sunda empire ,0,1,0
negara lain new normal kita juga ikut menerapkan new normal udh di fikirkan matang blm tu udh siap blm dgn kemungkinan buruknya klo new normal ini ternyata gagal dan jadi malah tidak terkendali ,0,0,1
josss,0,1,0
mall di buka masjid gak di buka buka haduh bingung semoga allah melenyapkan virus kopek dari indo amiin ,0,1,0
jangan ngulang sejarah dulu fase pertama banyak korban jiwa karena bosan dirumah lalu di bebaskan kembali dan terjadilah fase ke dua yg memakan lebih banyak korban ,0,1,0
prasaan dr dulu cuma gimic doang hasil noll nyesak saya dukung dulu ,0,1,0
 siapa kuat dya yang bertahan ,1,0,0
gigikmu,0,1,0
people are bored with your statement pak de gue tnggu ekonomi indonesiahh meroket dah itu aja,0,0,1
imajinasiiiiiii,0,1,0
emang pirus tu saudara lu atau anak buah mu bisa kamu atur sombong bangat jadi orang padahal bisa y cm urusan sy,0,1,0
gw g yakin masyarakat bs disiplin mematuhi psbb jika tdak di awasi aparat polisi n tni krna sdh mnjdi tradisi patuh n taat jika ad yg lihat contohnya aja penilangan klo g ad polisi pda kagak mau pakai helm tp jika ramai ad razia baru pada pakai helm n melngkapi syarat mengemudi ,1,0,0
 juni warga bebas kemana kemana tgl juni semua rumah sakit full terus masyarakat sakit ditaruh dimana ,0,0,1
pea,0,1,0
tidak mengira aa gym yg halus pun akhirnya bersuara perjuangan kita menahan diri dirumah aja di hianati lagi,1,0,0
new normal menularkan seluruh penduduk indonesia dengan covid tinggal alam yg memilih siapa yg akan hidup siapa yg tidak,0,0,1
ternak virus,0,1,0
jangan berharap rakyat disiplin jika aturan hanya berlaku untuk sebagian orang jika pemerintah sendiri tidak disiplin jangan harap rakyat patuh,0,1,0
suka suka lu deh,0,1,0
tatanan baru kembali ke khittah dan fitrah sebagai manusia,0,1,0
nunggu ada pejabat tinggi kena korona mau tepuk tangan,0,1,0
psbb memang harus dihapuskan kasihan rakyat bawah yg kaya mah enak tinggal pecat karyawan tabungan ada walau bagaimana jumlah rakyat bawah lebih banyak dari yg kaya pemerintah harus berpihak pada yg mayoritas ,1,0,0
tapi boong wkwk,1,0,0
semoga indonesia ku bersih dari sampah dan covid ,0,1,0
new normal untuk mengadakan resepsi pernikahan semua undangan menggunakan masker mengukur suhu cuci tangan dg hand sanitizer masuk bilik disinfectan saat masuk di ruang resepsi undangan dibagi menjadi beberapa shift misal suatu gedung kapasitas undangan dibagi menjadi shift orang,0,1,0
para pejabat nya itu di disiplin kan dlu biar jdi conto yg bagus buat rakyat bikin aturan tu yg jelas bukan nya bruba ruba psbb nya jdi percuma sia sia convid nya perhari masih nambah lebih new normal wk wk wk dengkul dengkul negara lain new normal emang kasus penambahan nya uda turun ,0,0,1
setuju bos,1,0,0
tatanan baru istilah seperti illuminati gt lah selalu rncana mrka hmmm ,0,0,1
pak jokowi konser gmna pak lagi dong haha,0,1,0
covid itu sebenarnya bersifat politik warga butuh makan pak buat besok bukan malah di tekan masyarakat,0,1,0
semoga dapat hidayah aamiin,0,1,0
produktif aman covid mksdnya gmn jgn prank kita lg pak gmn mau percaya kalo bawa contekan,1,0,0
berak ,0,1,0
gerakan disiplin nasional ,0,1,0
semoga covid cepat berlalu aamiinn makasih ,1,0,0
haduh haduh negara setingan ,0,1,0
kalo bekasi di lockdown jawa barat dan jakarta pun hancur pendapatan keuangan negara ,0,1,0
new normal terserah loe aja deh ,0,1,0
hati kena prank habis new normal semua tarif ini itu naik lg ,0,0,1
amin ,0,1,0
semoga apa yang bapak laksanakan program nya tidak sia lagi ,0,0,1
wkwkwk udah terima aja tantangan dari jrx gak berani ya ya udah kalo gak berani buat aja video di youtube itung ada konten sekaligus nyari subscribers dan viewer wkwkwk ,0,1,0
sunda empire naon eta akibat gak nyetor reset ulang ,0,1,0
semoga bpk presiden tetap sehat walafiat kami sekeluarga selalu mencintai anda thank you for all the best for indonesiaku and god bless you amen,1,0,0
seleksi alam resmi siap dimulai ,0,1,0
tatanan dunia baru sunda empire akhirnya dipakai ,0,1,0
haduh mboh wes,0,1,0
ucapan nya kaya niru kang rangga sasana sunda empire,0,1,0
kirain tatanan baru sunda empire wkwkwk,0,1,0
ga ada assalamualaikum langsung padaaa ,0,1,0
 juta avigen yg di pesan mana nih ,0,1,0
saya takut ini herd immunity dibungkus dengan kata new normal saya ga mau terinfeksi virus saya ga mau mati tolong saya dan keluarga saya ,0,0,1
kenapa sumareccon kenapa gak di bandung ya oiya yg punya sumarecon siapa ya saya penasaran ,0,1,0
ngobrol opo pak aku ra mudeng maksudmu hahaha se ingatku dulu jumlahnya cuma hahaha ,0,1,0
penduduk indonesia udah padet pemerintah ngelonggarin psbb agar ekonomi tetap berjalan agar masyarakat hidup normal kayak biasanya new normal bertujuan agar populasi di indonesia makin berkurang dengan kena virus corona ,0,0,1
seleksi alam dan hukum rimba siapa yang kuat dia yang bisa hidup wkwkwk,1,0,0
alhamdulilah akhirnya kembali normal,0,1,0
teringat kembali pertanyaan pak anis lokcdown jakarta ,0,1,0
oopp ada teori konspirasi lagi nii ,0,1,0
tanggal juni udah masuk sekolah bjirr sia gak keluar rumah bulan tpi ujung nya juga di suruh skolag keluar rumah hadehhh,0,1,0
gua mampir cuma mao liat komen doang ,0,1,0
prank lagi kah ,0,0,1
yg punya riwayat penyakit rawan diserang virus ini telah dikorbankan kembali ke yg kuat bertahan yg lemah mati ,1,0,0
drpd ekonomi anjlok ane lengser lbh baik rakyat yg mati kan ada yg lahir lagi klw bayar hidup rakyat di rumah aja jg gk ada duit dungu part ,0,1,0
belum jualan vaksin ,1,0,0
herd imunity ,0,1,0
harusnya judulnya tatanan dunia baru ,0,1,0
sunda empire apa kamu benar ,0,1,0
selamat membeli sarung tanganmenjaga dari corona nambah uang slurrr buat yang produksi,0,1,0
itu ngomong apaa saya kagak ngerti ,0,1,0
assalamualaikum dulu pak,0,1,0
 jujur itu hebat usahakan juga semua agama bebas menggunakan tempat ibadah nya jngan cuma mall aja bos hidup itu di bawa enjoy aja,1,0,0
new normal apakah otw new world order ,0,1,0
sebelum sebelumnya juga masyarakat sdh disiplin mengikuti protokol kesehatan ,1,0,0
permisi saya ingin kosmentar sebentar aja tp pemerintah apakah cukup untuk memberikan peralatan kesehatan untuk masyarakat seperti yang masih sekolah kerja ibadah dll ,0,1,0
akhirnya herd immunity,1,0,0
latah amat ngikut new normal kaya negara lain kalo negara lain yang relaxing lockdown kan karena mereka udah lewatin peak periodnya lah ini kasus positif masih naik terus kok malah dilonggarkan psbb nya,1,0,0
ya allah ya tuhan jadikanlah saya presiden suatu saat nanti ,0,1,0
jurus pamungkas selamatkan kesehatan apa ,0,0,1
haduhh yg ga ikutan milih jadi ikut kena dampak kebijakannya,0,1,0
tni dipakai untuk internal pak gk untuk keamanan eksternalnih ,0,1,0
cukup ketawa aja,0,1,0
desi pantaw apanya yg di serang dan hancurkan ayo jawab saya kepingin tau ,0,1,0
pnpm tetap nagih,0,1,0
hoaaamzzz ,0,1,0
serius gak simpati lht s anu berbicara lg ,0,1,0
kok nggak ada yg fokus ke reporter nya cakep loh ,0,1,0
masyarakat sdh disiplin jija tak dusiplin krn perut kami lapar tak punya uang ,0,1,0
peraturan sama praktek lapangan jauh berbeda praktek lapangan lebih arogan kususnya kamtibmas pol pp ,0,1,0
jangan sampai rakyat membludak pk krna buat makan gk adaaaaaa,0,0,1
selamatkan ekonomi tapi mematikan rakyat wkakekkwkkkwkakwkakwkakkwkakwkawkakkwkakwkakwkkakwkakwkkakwkakwkskkwkakwkskwkwkwkwkwkkwkwkwkwkwkwkwkwwlkwkwkwkw,0,1,0
kakean cangkem hahahaha,0,0,1
prank lg ya pak kami tkut ma corona,0,1,0
pak masalah nya bukan ekonomi tapi corona seharus nya jurus pamungkas lawan corona ,1,0,0
usahanya semoga berhasil dan kembali normal,0,1,0
saya kurang faham pak presiden pidato tolong jelasin temen apa mksudnya dari dlu gk mudeng saya kepo,0,1,0
masker itu buat nutupin mulut dan hidung bukan dagu dungu,0,1,0
new normal atau new worl older,0,1,0
negara kusut ,0,1,0
ga mau keluar biyaya untuk rakyat takut kekuasaanya runtuh ya rakyat yg d jadikan tumbal buat duel sama corona ,0,0,1
hrus bsa dsplin rakyt smua spya bisa normal lgi sperti bisa lgi smga negra kta aman covid cpet slesai smga sht smua buat bp prsiden bp gbrnur polri tni dan smga di lndungi allah swt setiap waktu,1,0,0
lagi keputusan yg bikin bingung dengan cara yg membingungkan buat kalian yg bingung ,0,0,1
punya pemerintah gini amat,0,1,0
habib bahar di tangkap gara gara melanggar psbb lah pemerintah sendiri melanggar aturannya gak ada yg dapat sangsi negara dagelan memang nih ,0,0,1
mgkn corona bisa berkurang sejalan dengan berkurangnya intensitas media memberitakanya,0,1,0
aku mulai malas dgn yg satu ini omongan ga bs dipercaya dan plin plan prettt,0,1,0
normal kmbali asiap ,0,0,1
corona memang buat orang cina di simpan di sebuah tempat,0,1,0
gk jelas ,0,0,1
new normal berak lo logika kita diputer dibolak balik berak lo sekebon,0,1,0
psbb masih ber bentrok kan dengan new normal,1,0,0
mari semua warga negara taat aturan pemerintah ,0,1,0
coba menkes nya msh ibu siti fadilah pasti si pembisnis gk akan naikan nominal angka angka angka angka semoga cuma angka bukan korban ,0,1,0
baru normal new normal,1,0,0
dagelan,0,0,1
new normal pasrah,1,0,0
terserahlah mau apalagi ,0,0,1
ngeprang lgi besok besok peraturanya juga berubah,0,1,0
tapi bohong yhahaaaaaa,0,1,0
pulang k solo ko bisa ya hehe gak di karantina lagi,1,0,0
bikin keder lagi kebijakannya sekarep mu dahh ,0,0,1
yg komen negatif belom pada ngerti mksd a,0,1,0
asal jujur saja akan keterbukaan data perhari brp yg di test dan brp yg kena mohon kedepan utk tetap jujur jika benar di buka,1,0,0
gk punya pendirian aturan yg berubah ubah,0,1,0
diskusi aja dgn sunda empire tatanan prettt,0,1,0
bandara cepat buka dong pak presiden saya yang dari papua ingin pulang kebanten ,1,0,0
semoga corona virus membawa pergi orang tokoh agama politik nasional dst indonesia yg suka nyinyir dan yg menyebarkan hate speech serta ga kreatif dan ga mw bantu pemerintah rakyat saat pandemi covid ini aamiin yra takbir allohu akbar x,0,1,0
bisa aja kertas nasi,0,1,0
kalian kelompok yang mana yang pro new normal punya usaha tapi modal ngutang orang yang punya tanggungan utang mobil rumah dll,0,0,1
urip karepmu mati karepmu gitu paling maksudnya,0,0,1
gw seh berharap mesjid jg di buka buat sholat berjamaah karna untuk masuk mesjid syaratnya bersih bersuci atau wudhu yg di cuci bukan cm tangan doang dri ujung kepala sampe ujung kaki buka alas kaki pakaian rapih dan sopan coba klo ke mall pernah ga kalian ngeliat orang klo mau masuk mall wudhu dlu cuci dri ujung kepala sampe ujung kaki trus buka alas kaki ,0,0,1
mohon maaf mau tanya katanya dilarang bergerombol tp dsitu kok pada bergerombol ya jdi bingung apakah khusus orng trtentu kah yang boleh bergerombol ,0,1,0
mesjid ditutup tapi para cina keluar masuk negara bisa penyakit corona bisa di sembuhkan hiv gk bisa jadi knp masyarakat selalu aj ditakut n,0,1,0
gak konsisten knpa gak dri awal aja gak usah ada libur terlanjur yg kerja pada di phk di rumahin udah tau positif covid tiap hari makin menggila ,0,0,1
semoga kau dengar tuhan iwan fals,0,1,0
normal yg bener pk jngan plin plan rakyat udah gerah pk ,0,0,1
lebih penting menyelamatkan ekonomi apa nyawa rakyat rakyat sekarang dikarantina bantuan salah sasaran membuat rakyat menderita dan mati pelan pelan pemerintah membuat aturan tapi tidak membuat solusi,0,0,1
inovasi bangsa indonesia jgn new normal harusnya orhiba orde hidup baru protokolnya pke cara peradaban nabi muhammad click orhiba,1,0,0
this is prank,1,0,0
can you win ,0,1,0
tuhan lagi memperlihatkan kebusukan pemerintah negri ini ,0,1,0
aah bingung dengan peraturanmu ,0,1,0
jangan kan ke mall pak tolong pikirkan transportasi umum dan ojek online gimana penerapan new normal,0,1,0
yang di datengin kok mall lol,0,0,1
wait tatanan baru di masa pandemi apakah tatanan baru ini hanya di masa pandemi atau selamanya mohon dijawab bagi yang paham hehe matur suwun temen temen ,0,1,0
takut massa demo protes pemerintah setelah menahan diri di bulan ramadhan puasa dimunculin deh new normal nyebar aparat buat bubarin konsentrasi masyarakat ,0,0,1
normal kok di batasi jam sama aja,0,1,0
bong,0,1,0
duta mall ,0,0,1
new normal selamatkan ekonomi yang ada negara sdh bangkrut jurus ngeles tukang kibul,0,0,1
mari kita kembali beribadah sholat ke mushola dan masjid mari kita kembali berjamaah karna dengan berjamaah amal ibadah akan di gandakan,0,1,0
zona hijau pendidikan dijalankan sekolah hrs mulai jln sesui protokol kesehatan zona merah tutup saja dulu jgn terjadi pembodohan masal,1,0,0
a america b belanda c canada d bandung,0,1,0
covid hahahaha makanan tambah bnykkk enakk nyam nyammm cmn di indonesia covid bisa sejahtera,0,1,0
new dungu tempat ibadah ditutup mall dibuka,0,0,1
seharus new normal di laksanakan ketika penyebaran covid menurun bukan ketika naik gimana apagak kasian sama anak kecil yg belom ngerti apa ,0,0,1
rakyat maunya diapain lagi urus rakyat udah gk bisa kerjaaaaaa,0,1,0
mulut aja yg lebar,0,1,0
tatanan baru dunia world order setelah ini muncullah agama dunia di era g,0,1,0
sya wiraswasta pemasukan sebulan gak jls semenjak covid kk ada ktp ad rmh ngontrak motor kridit tetep sruh byar dan gak dapet bantuan yg jelas masi byak saudara qt yg lbih sush dari sya dan tdk dpt bantuan ,0,1,0
government new normal medics ahhh terserahlah ahh,0,0,1
keberkahan bulan suci ramadhan subhanallah walhamdulillah wala ilaha illa allah,0,1,0
jaga batasan nyinyiran anda,0,1,0
resepsi pernikahan di buka kembali ya pak supaya saya sebagai pekerja dekorasi pengantin beraktivitas lagi agar dapat pengasilan demi kebutuhan hidup sehari hari semangat pak jokowi untuk indonesia tercinta ,1,0,0
disiplinkan masyarakat terutama di konser konser ,0,0,1
iyalah haruslah dibuka gw dikos uda ga kerja mana byar kos perbulan boro dapat bantuan smbako anak kos ga pernah dapat bantuan lo yg punya duit banyak enak mah,0,1,0
lagi naik kurva positif kok malah buka mall blunder makin sulit tracking nya klo ada yg positif tolong bpjs pak cancel dulu naiknya korban phk neh ,0,0,1
kita dukung pemerintah dengan jaga kesehatan dan doa pada allah swt hindari saling mnyalahkan ,1,0,0
terserah apa kata lu aja dah wkwkwkwk emang gw pikirin uda males liat nya,0,1,0
setingan,0,1,0
ya mau ga mau harus normal karna semakin lama lock down semakin banyak juga biyaya yg dikeluarkan pemerintah sedangkat keuangan negara udah menurun drastis juga ,0,0,1
virus corona ini masih mewabah jadi setelah menerapkan peraturan baru tapi nggak dipatuhi konsekuensinya makin banyak tubuh yang dimasuki virus corona ini semakin bertambah terus yang meninggal karena virus corona ini,0,0,1
maaf teoroi dan praktek harus sesuai tlg kantib itu harus mengerti jangan main segel masa toko buka sedangkan konsumenya saja tidak berjubel ko main segel,0,0,1
gaada etikanya jadi org ngomong ora ada salam²nya wkwkwk,0,0,1
s u r v i v a l mode tubuh kebal akan bertahan tubuh lemah akan tumbang ,0,0,1
belum waktunya pusat perbelanjaan dibuka tetap akan menjadi kerumunan manusia sabar sabar belajar ke vietnam ,0,0,1
ya allah smoga covide cepat di angkat dan smoga dunia kembali seprti dl dan bisa tersenyum lagi dan smoga bapak jokowi di beri kesehat dan perlindungan dr subhana wataalla ,1,0,0
disa at gemuruh deras dari mulut dan di hati yang resah dan tak berdaya teruskan jangan hentikan gemuruh harapan dan pengakuan bahwa hanya tuhan yang mampu menurunkan penyakit beserta obatnya kecuali kita yang khianat akan kekuasa annya menganggap tubuh dan otak ini mampu menentukan ke arah mana keselamatan berada ,1,0,0
labil orang masih banyak yang positif corona,0,1,0
new world order banget ini ah gue mnding udahan dr dunia dajjal ini lah,0,0,1
semuga cepat lengser,1,0,0
kok jurus pamungkas mgkn cocoknya terserahhloe biarloemampus,0,0,1
kita akan lihat angka dan nanti listrik bbm migas bpjs dll akan kita baikan lagi harganya ,0,1,0
heeeeeyyyyyy antum kenapa anda hanya melihat tempat tempat keramaian publik saja nasib masjid kami bagaimana nasibnya bloookkkkk,0,1,0
mantap barengan dengan hari lahirnya pancasila ,0,1,0
melaksanakan tatanan baru mesti ijin dulu ke sunda empire ,0,1,0
isu berita hoax semua pasien sudah mencapai tidak ada satu pun rumah sakit pasien covid d sorot camera jd kemana pasien di sembunyikan permainan apa kah kalian lakukan ,0,0,1
terserah,0,1,0
apapun yang di bilang pemerintah saya percaya itu semua prank ,0,1,0
kalau pak de mau liat angka angka ya resmiin togel biar rakyat bisa cari angka jitu buat basmi kemiskinan dan covid ,0,1,0
dulu kau jadikan bahan candaan tp sekarang payah ,0,1,0
karepmulah wi wi jokowi ,0,1,0
bacodddddddd,0,1,0
ruwet ruwet ruwet,0,1,0
gw makin bingung dengan istilah yg di pakai oleh negara sono di longgarkan tapi juga di ketatkan ,0,0,1
dan nanti para medis akan kewalahan ,0,1,0
gak di contohkan cara pakai masker yang benar ya ,0,1,0
bbm brp harga perliternya sdgkn diluar negeri separuh harga lbh murah gmn respon bpk presiden markowi ,0,0,1
parah parah parah yg dihancurkan keagamaan kesopanan kepandaian dan pembodohan dimana mana agama diacuhkan sungguh negara luar biasa kambing kambing hitam sudah tersebar ke seluruh pelosok negri ,0,1,0
gw sih mending keluar survive daripada diam sama mati,0,1,0
nech ya gw kasih tau lo pade yg cuma suka nyinyir corona ada bahaya iya bagi kalangan tertentu settingan iya,0,1,0
berlakukan lagi gdn gerakan disiplin nasional seperti yg pernah di berlakukan pada era an ,0,1,0
semoga ini bukan keputusan terkonyol yg pernah dibuat krn teori terkadang tidak seindah kenyataan ,0,1,0
anu maaf kayaknya kurang jelas apa yang dijelaskan jelas jelas belum jelas semua karena anunya belum jelas jelas masih bingung karna bingung yang belum jelas ngikut aja lur,0,0,1
d saat mau memuncak malah new normal ya allah,0,0,1
kayanya kenyataan virus corona akan tutup in demi sebuah kondisi yg normal kembali agar tidak terjadi kepanikan ditengah masyarakat karena virus covid tidak akan pernah hilang sebelum ada obatnya tapi pemerintah lebih mementingkan ekonomi kita liat saja nanti ,0,0,1
sila hapuskan bisnes yg haram maksiat baru allah terima doa kita semua,1,0,0
rakyatanya pdo mumueti,0,1,0
ngeprank mulu nih pakde,0,0,1
lebaran udah usai percuma pengunjung mall akan sepi,0,0,1
klo jurus pemungkas berarti g akan ada jurus lain setelah ini tolong jurus plin plannya g diterapkan biar fokus ekonomi bs baik yg di phk bs kerja lagi perusahaan yg bangkrut bs operasi lagi dan yg terpenting lagi smg new normal tdk menambah yg terinsfeksi corona ,0,1,0
di mall saja,0,0,1
yang jelas bohong,0,0,1
new normal tapi kurang detail ada beberapa detail yang kurang harus selalu di evaluasi jangan dibuat kalo ini adalah harga mati kesehatan ya tapi hampirbbelum terlalu banyak menyinggung masalah kerumunan,1,0,0
aku miskin kamu kaya ok ok ok aku lemah,0,0,1
aduuhh ,0,1,0
new normal herd imunnity,0,0,1
ah itu cuma kata lain dari menyerah atau bisa jadi tidak peduli sm rakyat ,0,1,0
plonga plongo lagi raja cebong,0,0,1
tenaga medis mungkin sedih denger ini smoga para nakes diberi kesabaran menghadapi ini ,0,0,1
brand new world,0,0,1
mantap pak presiden sehat selalu pak mau gimana lagi kalaupun ini ada konspirasi ya tetap harus ada cara mengatasi jangka pendek dulu semua usaha yg bisa di pakai tetap harus di patuhi demi kebaikan bersama kalau ada yang gk terima atau apapun namanya terserah kalianlh tapi kalau terjangkit jangan salahkan siapapun dan jangan menyesal dan jangan jangkitkan ke orang lain ,1,0,0
terserah ,0,1,0
waktu kampanye habis habisan semua rakyat di bikin janji janji palsu baru di beri korona udah ruwet ,0,0,1
di ksih psbb masyarakat pd susah di rumh di ksih kebebasa masyarakat pd ribut jg serba slh,1,0,0
jan lupa tetap pake masker jaga kebersihan dan jaga jarak,0,1,0
new normal bagi wong deso seperti kami susah memahami mungkin lebih tepatnya menuju jaman ambyar,0,0,1
mantap pak jokowi,0,1,0
kata pakde produktif dan aman covid ini kata saling berlawanan kenapa kalau mau aman ya dirumah krna virusnya masih ada penambahan kasus positif masih banyak sulit untuk produktif pemerintahlah yang jamin pangannya beginilah perintah uu ,1,0,0
kwkwkkw ketawa saja serah lo dah,0,1,0
bukan mau sombong cuma mau ngajak kebaikan aja bagi yang merasa belum lancar baca qur an atau ingin membenarkan bacaannya tapi cuma bisa nyediain waktu menit sehari buat belajar ,0,1,0
maklum budaya tumbal demi ekonomi pesugihan itu hal yang lumrah,0,0,1
revolusi mental new normal next apa yah pra krja apa crta yahh ,0,0,1
tarik sana tarik sini dorong sana dorong sini kecebur lah ujung nya ,0,0,1
buka semua psbb mau kluar kmn ndak bs mau krj jln di ttp pusingggg rasany,0,0,1
god joob insya alloh naik dengan di libatakanya tni polri ,1,0,0
negara lain sudah mulai normal ini indonesia malah ruwet ancurrrr currrr,0,0,1
semoga perusahaan bangkit lagi dan open recruitment besar an para jobless moga bisa dapet kerja lagi ,0,1,0
new world order siap dimulai,0,0,1
gak ada kepastian capek dah ekonomi udah hancuuuuuuur,0,0,1
penerbangan internasional smoga dah bs ya semoga pandemi ini bs segera berlalu dan semuanya makin membaik ,1,0,0
persiapkan kurikulum baru persiapkan sistem ajaran baru persiapkakan tatanan baru budaya baru dan sistem ekonomi baru dan jangan lupa terus cari vaksin dan obatnya ,1,0,0
 juni mari kita update server biar gk ngelag dan jngn lupa gatcha terooooos pay to win ,1,0,0
lucu aj sih sm negara sendiri ,0,1,0
sudah terlanjur parah berdampingan dengan covid memang harus terjadi seperti penyakit lain tinggal berusaha menemukan obatnya ,1,0,0
penerapan new normal sepertinya tdk akan efektif jika tidak merata di semua sektor lini,0,1,0
perediksi sunda empire akan ada bencana yang akan merubah tatanan dunia berbakat jdi peramal wkwkwkkw,0,1,0
hhhh sunda empire tatanan baru ,0,1,0
gk jls dh indonesia aku hnya prcaya kpd allah,0,1,0
pak dhe tatanan baru sunda empire puntennn,0,1,0
kaya dongeng ,0,0,1
klo bicara normal new mah ya d cabut lah smw aturan ,0,1,0
sunda empire terima kasih sudah mengingatkan kami ,0,1,0
new normal dapat dimaknai menyerah tdk sanggup lagi,0,0,1
semoga pulih lebih cepat seluruh indonesia kami yang punya niatan baik jadi tertahan oleh aturan aturan nya semoga niatan baik yang di undur ini dosa nya tidak menimpa kita tapi di tangung oleh yang mengatur,1,0,0
agen agen konspirasi global sudah semakin nyata negara ini dalam ke adaan darurat krisis dunia terbalik ,1,0,0
bukti ketidaksanggupan menangani covid ,0,1,0
ko gak di dki pidatonyaa kalah sama pak gubernur pidatonya gak pake tek,0,1,0
bodo amat lah jualan sepi duit ngak gableeeg ,1,0,0
sekarang jaman manusia kebanyakan cari muka di youtube supaya dibilang baik simpati kpd rakyat yg lagi musibah atau miskin bahkan agar dipuji oleh pemerintah ,0,1,0
kenapa sih yg di utamakan mall tempat ibadah g di sebut hmmmm,0,0,1
mau coment takut ditangkep hahhaha nyimak aja deh tetap semangat buat rakyat kecil apalagi yg sudah di phk,0,1,0
terlalu bnyk prankk ,0,1,0
joko n mimil tanggung jawab kalo nambah banyak korban pantek biasa ntr larinya masalah bersama masyarakat yang nanggung lo pade ngilang beeeuh ,0,1,0
seng kuat urip seng lemah yo siap ,0,1,0
saya rindu touring kapan nih saya bisa bebas touring lagi dah kangen gass pool,0,1,0
biar gk terlalu tegang mending intip yuk channel gw khusus sunda,0,1,0
